Volume,Chapter,Question,Answer
1,1,Who was the first praetor after Shinzon's death?,Tal'aura
1,2,Which ship was retrofitted in late 2379?,U.S.S. Enterprise-E
1,3,Who led the Andak project on Cardassia Prime?,Keiko O'Brien
2,1,Who led the Romulan forces fighting the Remans?,Tomalak
2,2,Who was the first empress of the imperial Romulan state?,Donatra
2,3,With which planet did the Romulans in the Unification movement want to reconnect?,Vulcan
2,4,Who did the Cardassian government turn over for prosecution?,No one
2,5,"On Stardate 58839.03, construction on a Starfleet ship began in San Francisco. What ship was it?",U.S.S. Stargazer-A
3,1,What was in short supply on the Romulan homeworld?,Food
3,2,Which family rejected Tal'aura's reorganization of the Romulan Senate?,The Line of Tellus
3,3,Which planet did the Klingons take from the Romulans?,Khitomer
3,4,Who did the Klingons fight when they conquered Khitomer?,The Romulans
3,5,Who argued against aid for the Unification movement on Romulus?,T'Los of Vulcan
3,6,What did the Doctor sue to keep from Starfleet?,Mobile emitter
3,7,How many Cardassians disappeared from Cardassia Prime in 2382?,472
4,1,Why did violence break out in the Romulan capital?,Food Rationing
4,2,Who defected to join the Imperial Romulan State?,Admiral Taris
4,3,Which religious group became popular on Cardassia Prime?,The Oralians
4,4,Who did Martok defeat in a duel of honor?,Councilor Qolka
4,5,Which group began work to develop a mobile emitter?,Soong Foundation
5,1,Who was Tal'aura's new proconsul?,Sela
5,2,Who went to Romulus to speak for the Imperial Romulan State?,Admiral Taris
5,3,How did Tal'aura die?,Assassinated as she slept
5,4,Who attacked the I.K.S. Quv?,A Gorn Ship
5,5,Where did Odo and Laas meet?,Koralis III
5,6,Which organization was trying to restore B-4?,Soong Foundation
6,1,Where did Jean-Luc Picard go during his final mission as captain of the U.S.S. Enterprise-E,Khitomer
6,2,Which ship was Beverly Crusher given when she was promoted to captain?,U.S.S. Pasteur
6,3,Which former Enterprise-E officer helped unlock the Data Matrix?,Geordi La Forge
6,4,Which organization did Seven of Nine join?,Daystrom Institute
6,5,Who was the leader of the Tal Shiar?,Rehaek
6,6,Who lost the campaign for Praetor after Tal'aura's death?,Sela
6,7,Who did Donatra ally with after Tal'aura's death?,The Remans
7,1,Which planet was overmined according to the Romulan Mining Guild?,Remus
7,2,To which planet did the Remans relocate?,Crateris
7,3,Whom did Rehaek blame for the assassination of Praetor Tal'aura?,The Nobles
7,4,Who convinced the praetor to commute Sela's death sentence?,Donatra
7,5,What position was Data given when he returned to Starfleet?,Captain of the U.S.S. Enterprise-E
7,6,Who conquered Gila IV?,The Klingon Empire
7,7,How much did a protest permit cost on Ferenginar?,One bar of gold-pressed latinum
7,8,Who was the First of the Alpha Jem'Hadar?,Lamat'Ukan
8,1,Who designed the Jellyfish?,Geordi La Forge
8,2,Who killed Raimus?,Hassan the Undying
8,3,What proposal by the Grand Nagus was rejected in 2387?,Ferengi alliance with the Federation
8,4,Which planet did the Jem'Hadar occupy?,Devros II
8,5,Which group first detected radiation fluxuations in the Hobus star?,Romulan Mining Guild
8,6,Who did Donatra order to return to Romulus?,Admiral Taris
8,7,How long did the Romulan military report it would take to evacuate the homeworld?,Six weeks
8,8,Who did Martok appoint to be a commander of the Klingon fleet?,Worf
8,9,Which ship was lost in the Hobus system with the Jellyfish?,Narada
9,1,Which world was the first to claim the title of capital of the Romulan Star Empire?,Rator III
9,2,Which faction refused to send aid to the Romulans?,Klingon Empire
9,3,Who led the faction of the High Council that blamed the Federation for the loss of the fleet?,J'mpok
9,4,What is the name of Worf's second son?,K'Dhan
9,5,How many planets withdrew their ambassadors to Vulcan?,19
10,1,How many Romulans attempted to take over as emperor in 2389?,5
